KODE_JAGA_ORG,Index_name,Value24,Value23,Value22,Value21,data.instansi,PROVINSI.CLUSTER_KL,KODE_2
1171,Upaya Pencegahan Korupsi,78.2,83.29,70.8,70.62,PEMERINTAH KOTA BANDA ACEH,PROVINSI ACEH,Upaya Pencegahan Korupsi
1172,Eksternal,85.82,87.99,79.75,78.06,PEMERINTAH KOTA SABANG,PROVINSI ACEH,Eksternal
1172,Integritas Pegawai,95.78,98.32,95.31,100.0,PEMERINTAH KOTA SABANG,PROVINSI ACEH,Integritas Pegawai
1172,Transparansi dan Keadilan Layanan,83.28,81.7,72.54,75.76,PEMERINTAH KOTA SABANG,PROVINSI ACEH,Transparansi dan Keadilan Layanan
1172,Upaya Pencegahan Korupsi,77.31,82.65,69.55,56.2,PEMERINTAH KOTA SABANG,PROVINSI ACEH,Upaya Pencegahan Korupsi
1173,Eksternal,82.22,86.64,77.3,61.75,PEMERINTAH KOTA LANGSA,PROVINSI ACEH,Eksternal
1173,Integritas Pegawai,92.61,95.55,92.76,47.54,PEMERINTAH KOTA LANGSA,PROVINSI ACEH,Integritas Pegawai
1173,Transparansi dan Keadilan Layanan,77.36,79.99,68.54,72.45,PEMERINTAH KOTA LANGSA,PROVINSI ACEH,Transparansi dan Keadilan Layanan
1173,Upaya Pencegahan Korupsi,75.44,83.19,68.68,67.18,PEMERINTAH KOTA LANGSA,PROVINSI ACEH,Upaya Pencegahan Korupsi
1174,Eksternal,87.42,86.48,84.85,73.95,PEMERINTAH KOTA LHOKSEUMAWE,PROVINSI ACEH,Eksternal
1174,Integritas Pegawai,97.28,96.8,95.62,83.42,PEMERINTAH KOTA LHOKSEUMAWE,PROVINSI ACEH,Integritas Pegawai
1174,Transparansi dan Keadilan Layanan,82.07,84.36,78.11,74.54,PEMERINTAH KOTA LHOKSEUMAWE,PROVINSI ACEH,Transparansi dan Keadilan Layanan
1174,Upaya Pencegahan Korupsi,81.67,77.2,79.45,63.02,PEMERINTAH KOTA LHOKSEUMAWE,PROVINSI ACEH,Upaya Pencegahan Korupsi
1175,Eksternal,75.3,80.35,78.61,66.08,PEMERINTAH KOTA SUBULUSSALAM,PROVINSI ACEH,Eksternal
1175,Integritas Pegawai,92.63,90.7,97.45,72.22,PEMERINTAH KOTA SUBULUSSALAM,PROVINSI ACEH,Integritas Pegawai
1175,Transparansi dan Keadilan Layanan,72.4,75.27,80.6,70.18,PEMERINTAH KOTA SUBULUSSALAM,PROVINSI ACEH,Transparansi dan Keadilan Layanan
1175,Upaya Pencegahan Korupsi,59.06,73.84,56.09,55.46,PEMERINTAH KOTA SUBULUSSALAM,PROVINSI ACEH,Upaya Pencegahan Korupsi
1200,Eksternal,84.53,85.67,80.1,82.84,PEMERINTAH PROVINSI SUMATERA UTARA,PROVINSI SUMATERA UTARA,Eksternal
1200,Integritas Pegawai,92.44,94.24,92.86,93.54,PEMERINTAH PROVINSI SUMATERA UTARA,PROVINSI SUMATERA UTARA,Integritas Pegawai
1200,Transparansi dan Keadilan Layanan,80.01,81.52,72.67,82.35,PEMERINTAH PROVINSI SUMATERA UTARA,PROVINSI SUMATERA UTARA,Transparansi dan Keadilan Layanan
1200,Upaya Pencegahan Korupsi,80.16,80.21,73.18,71.57,PEMERINTAH PROVINSI SUMATERA UTARA,PROVINSI SUMATERA UTARA,Upaya Pencegahan Korupsi
1201,Eksternal,91.39,88.11,85.57,82.67,PEMERINTAH KABUPATEN NIAS,PROVINSI SUMATERA UTARA,Eksternal
1201,Integritas Pegawai,98.08,98.07,96.62,94.45,PEMERINTAH KABUPATEN NIAS,PROVINSI SUMATERA UTARA,Integritas Pegawai
1201,Transparansi dan Keadilan Layanan,87.89,83.27,80.72,81.04,PEMERINTAH KABUPATEN NIAS,PROVINSI SUMATERA UTARA,Transparansi dan Keadilan Layanan
1201,Upaya Pencegahan Korupsi,87.37,81.78,78.05,71.31,PEMERINTAH KABUPATEN NIAS,PROVINSI SUMATERA UTARA,Upaya Pencegahan Korupsi
1202,Eksternal,77.96,80.95,77.91,84.95,PEMERINTAH KABUPATEN MANDAILING NATAL,PROVINSI SUMATERA UTARA,Eksternal
1202,Integritas Pegawai,86.47,92.93,87.91,95.28,PEMERINTAH KABUPATEN MANDAILING NATAL,PROVINSI SUMATERA UTARA,Integritas Pegawai
1202,Transparansi dan Keadilan Layanan,74.42,76.39,70.87,84.07,PEMERINTAH KABUPATEN MANDAILING NATAL,PROVINSI SUMATERA UTARA,Transparansi dan Keadilan Layanan
1202,Upaya Pencegahan Korupsi,71.99,72.15,73.62,74.45,PEMERINTAH KABUPATEN MANDAILING NATAL,PROVINSI SUMATERA UTARA,Upaya Pencegahan Korupsi
1203,Eksternal,88.56,87.03,87.91,85.54,PEMERINTAH KABUPATEN TAPANULI SELATAN,PROVINSI SUMATERA UTARA,Eksternal
1203,Integritas Pegawai,95.97,95.41,97.73,95.47,PEMERINTAH KABUPATEN TAPANULI SELATAN,PROVINSI SUMATERA UTARA,Integritas Pegawai
1203,Transparansi dan Keadilan Layanan,83.96,81.58,81.07,84.62,PEMERINTAH KABUPATEN TAPANULI SELATAN,PROVINSI SUMATERA UTARA,Transparansi dan Keadilan Layanan
1203,Upaya Pencegahan Korupsi,84.81,83.0,83.64,75.54,PEMERINTAH KABUPATEN TAPANULI SELATAN,PROVINSI SUMATERA UTARA,Upaya Pencegahan Korupsi
1204,Eksternal,84.82,84.08,81.78,80.46,PEMERINTAH KABUPATEN TAPANULI TENGAH,PROVINSI SUMATERA UTARA,Eksternal
1204,Integritas Pegawai,93.19,92.44,98.7,90.3,PEMERINTAH KABUPATEN TAPANULI TENGAH,PROVINSI SUMATERA UTARA,Integritas Pegawai
1204,Transparansi dan Keadilan Layanan,81.82,80.27,79.44,78.6,PEMERINTAH KABUPATEN TAPANULI TENGAH,PROVINSI SUMATERA UTARA,Transparansi dan Keadilan Layanan
1204,Upaya Pencegahan Korupsi,78.49,78.54,65.46,71.43,PEMERINTAH KABUPATEN TAPANULI TENGAH,PROVINSI SUMATERA UTARA,Upaya Pencegahan Korupsi
1205,Eksternal,88.14,85.2,79.4,78.49,PEMERINTAH KABUPATEN TAPANULI UTARA,PROVINSI SUMATERA UTARA,Eksternal
1205,Integritas Pegawai,95.57,93.69,94.69,90.96,PEMERINTAH KABUPATEN TAPANULI UTARA,PROVINSI SUMATERA UTARA,Integritas Pegawai
1205,Transparansi dan Keadilan Layanan,82.61,81.08,70.64,75.44,PEMERINTAH KABUPATEN TAPANULI UTARA,PROVINSI SUMATERA UTARA,Transparansi dan Keadilan Layanan
1205,Upaya Pencegahan Korupsi,85.24,79.81,70.96,67.72,PEMERINTAH KABUPATEN TAPANULI UTARA,PROVINSI SUMATERA UTARA,Upaya Pencegahan Korupsi
1206,Eksternal,86.77,80.2,84.94,76.98,PEMERINTAH KABUPATEN TOBA,PROVINSI SUMATERA UTARA,Eksternal
1206,Integritas Pegawai,93.82,90.19,96.24,80.28,PEMERINTAH KABUPATEN TOBA,PROVINSI SUMATERA UTARA,Integritas Pegawai
1206,Transparansi dan Keadilan Layanan,84.37,73.81,78.07,76.87,PEMERINTAH KABUPATEN TOBA,PROVINSI SUMATERA UTARA,Transparansi dan Keadilan Layanan
1206,Upaya Pencegahan Korupsi,81.33,75.31,79.07,73.47,PEMERINTAH KABUPATEN TOBA,PROVINSI SUMATERA UTARA,Upaya Pencegahan Korupsi
1207,Eksternal,86.08,86.79,78.51,74.39,PEMERINTAH KABUPATEN LABUHANBATU,PROVINSI SUMATERA UTARA,Eksternal
1207,Integritas Pegawai,89.52,95.34,91.8,82.06,PEMERINTAH KABUPATEN LABUHANBATU,PROVINSI SUMATERA UTARA,Integritas Pegawai
1207,Transparansi dan Keadilan Layanan,83.26,80.97,70.18,76.78,PEMERINTAH KABUPATEN LABUHANBATU,PROVINSI SUMATERA UTARA,Transparansi dan Keadilan Layanan
1207,Upaya Pencegahan Korupsi,84.99,82.93,71.85,63.72,PEMERINTAH KABUPATEN LABUHANBATU,PROVINSI SUMATERA UTARA,Upaya Pencegahan Korupsi
1208,Eksternal,88.64,86.43,86.36,84.81,PEMERINTAH KABUPATEN ASAHAN,PROVINSI SUMATERA UTARA,Eksternal
1208,Integritas Pegawai,95.77,96.94,97.82,96.25,PEMERINTAH KABUPATEN ASAHAN,PROVINSI SUMATERA UTARA,Integritas Pegawai
1208,Transparansi dan Keadilan Layanan,84.14,80.22,79.53,83.69,PEMERINTAH KABUPATEN ASAHAN,PROVINSI SUMATERA UTARA,Transparansi dan Keadilan Layanan
1208,Upaya Pencegahan Korupsi,85.08,80.82,80.28,73.34,PEMERINTAH KABUPATEN ASAHAN,PROVINSI SUMATERA UTARA,Upaya Pencegahan Korupsi
1209,Eksternal,78.59,85.7,83.35,75.39,PEMERINTAH KABUPATEN SIMALUNGUN,PROVINSI SUMATERA UTARA,Eksternal
