KODE_JAGA_ORG,Index_name,Value24,Value23,Value22,Value21,data.instansi,PROVINSI.CLUSTER_KL,KODE_2
1301,Eksper,68.95,58.05,64.39,71.24,PEMERINTAH KABUPATEN KEPULAUAN MENTAWAI,PROVINSI SUMATERA BARAT,Eksper
1301,Integritas Pegawai,94.91,97.96,97.53,92.91,PEMERINTAH KABUPATEN KEPULAUAN MENTAWAI,PROVINSI SUMATERA BARAT,Integritas Pegawai
1302,Eksper,80.7,69.66,81.47,68.95,PEMERINTAH KABUPATEN PESISIR SELATAN,PROVINSI SUMATERA BARAT,Eksper
1302,Integritas Pegawai,88.53,94.0,94.6,91.99,PEMERINTAH KABUPATEN PESISIR SELATAN,PROVINSI SUMATERA BARAT,Integritas Pegawai
1303,Eksper,76.09,69.89,73.81,72.22,PEMERINTAH KABUPATEN SOLOK,PROVINSI SUMATERA BARAT,Eksper
1303,Integritas Pegawai,96.88,95.34,97.2,92.68,PEMERINTAH KABUPATEN SOLOK,PROVINSI SUMATERA BARAT,Integritas Pegawai
1304,Eksper,75.52,63.83,75.65,70.49,PEMERINTAH KABUPATEN SIJUNJUNG,PROVINSI SUMATERA BARAT,Eksper
1304,Integritas Pegawai,95.25,96.19,96.8,88.9,PEMERINTAH KABUPATEN SIJUNJUNG,PROVINSI SUMATERA BARAT,Integritas Pegawai
1305,Eksper,76.89,67.9,71.1,74.07,PEMERINTAH KABUPATEN TANAH DATAR,PROVINSI SUMATERA BARAT,Eksper
1305,Integritas Pegawai,97.53,97.35,93.17,93.88,PEMERINTAH KABUPATEN TANAH DATAR,PROVINSI SUMATERA BARAT,Integritas Pegawai
1306,Eksper,70.52,72.19,84.72,81.21,PEMERINTAH KABUPATEN PADANG PARIAMAN,PROVINSI SUMATERA BARAT,Eksper
1306,Integritas Pegawai,96.58,96.47,95.92,96.6,PEMERINTAH KABUPATEN PADANG PARIAMAN,PROVINSI SUMATERA BARAT,Integritas Pegawai
1307,Eksper,76.58,69.37,77.7,79.57,PEMERINTAH KABUPATEN AGAM,PROVINSI SUMATERA BARAT,Eksper
1307,Integritas Pegawai,98.72,98.58,98.26,100.0,PEMERINTAH KABUPATEN AGAM,PROVINSI SUMATERA BARAT,Integritas Pegawai
1308,Eksper,74.13,56.0,67.03,74.93,PEMERINTAH KABUPATEN LIMA PULUH KOTA,PROVINSI SUMATERA BARAT,Eksper
1308,Integritas Pegawai,95.31,94.6,94.4,92.66,PEMERINTAH KABUPATEN LIMA PULUH KOTA,PROVINSI SUMATERA BARAT,Integritas Pegawai
1309,Eksper,64.06,71.45,80.76,70.53,PEMERINTAH KABUPATEN PASAMAN,PROVINSI SUMATERA BARAT,Eksper
1309,Integritas Pegawai,98.47,97.22,97.57,92.51,PEMERINTAH KABUPATEN PASAMAN,PROVINSI SUMATERA BARAT,Integritas Pegawai
1310,Eksper,72.79,71.76,77.94,66.64,PEMERINTAH KABUPATEN SOLOK SELATAN,PROVINSI SUMATERA BARAT,Eksper
1310,Integritas Pegawai,96.23,97.87,94.78,95.63,PEMERINTAH KABUPATEN SOLOK SELATAN,PROVINSI SUMATERA BARAT,Integritas Pegawai
1311,Eksper,69.74,61.28,79.65,69.35,PEMERINTAH KABUPATEN DHARMASRAYA,PROVINSI SUMATERA BARAT,Eksper
1311,Integritas Pegawai,84.8,98.23,98.31,90.06,PEMERINTAH KABUPATEN DHARMASRAYA,PROVINSI SUMATERA BARAT,Integritas Pegawai
1312,Eksper,66.89,54.58,64.56,61.71,PEMERINTAH KABUPATEN PASAMAN BARAT,PROVINSI SUMATERA BARAT,Eksper
1312,Integritas Pegawai,94.46,95.98,98.61,95.97,PEMERINTAH KABUPATEN PASAMAN BARAT,PROVINSI SUMATERA BARAT,Integritas Pegawai
1371,Eksper,76.57,67.46,69.38,75.74,PEMERINTAH KOTA PADANG,PROVINSI SUMATERA BARAT,Eksper
1371,Integritas Pegawai,94.42,94.68,98.68,95.32,PEMERINTAH KOTA PADANG,PROVINSI SUMATERA BARAT,Integritas Pegawai
1372,Eksper,81.27,66.17,75.56,70.11,PEMERINTAH KOTA SOLOK,PROVINSI SUMATERA BARAT,Eksper
1372,Integritas Pegawai,97.82,97.15,96.35,97.31,PEMERINTAH KOTA SOLOK,PROVINSI SUMATERA BARAT,Integritas Pegawai
1373,Eksper,74.85,68.19,76.15,62.16,PEMERINTAH KOTA SAWAHLUNTO,PROVINSI SUMATERA BARAT,Eksper
1373,Integritas Pegawai,96.93,98.65,98.31,98.22,PEMERINTAH KOTA SAWAHLUNTO,PROVINSI SUMATERA BARAT,Integritas Pegawai
1374,Eksper,76.61,67.24,85.16,80.2,PEMERINTAH KOTA PADANG PANJANG,PROVINSI SUMATERA BARAT,Eksper
1374,Integritas Pegawai,97.09,97.25,97.85,79.01,PEMERINTAH KOTA PADANG PANJANG,PROVINSI SUMATERA BARAT,Integritas Pegawai
1375,Eksper,71.02,68.35,77.29,74.26,PEMERINTAH KOTA BUKITTINGGI,PROVINSI SUMATERA BARAT,Eksper
